venue_name,venue_type,venue_address,website,menu_url,menu_text,phone,email,alcohol,lunch
Assumption,Church,"45 North Sprague Avenue, Bellevue, PA 15202",https://www.assumptionchurch.org/,,"Menu features hand-breaded fish and cole slaw made from scratch. Traditional Eastern European sides offered, with homemade desserts available. Also, low-carb dinner available. Cost is $11 for adults, $3 for child and $8 for sandwich, with various a la carte items sold. ",412-766-9727,,False,False
"St. Fidelis, Butler",Church,"125 Buttercup Road, Butler, Pennsylvania 16001, United States",,,"Dinner menu, choice of deep-fried or baked fish, scalloped potatoes or french fries, green beans, cole slaw, bread and butter, beverage and dessert. Cost: $10 adults, $5 children age 10 and under, free for child under 2. All takeout is $10. ",,,,False
Penn Hills Bar and Grill,Restaurant,"11507 Frankstown Road, Pittsburgh, Pennsylvania 15235, United States",,,,(412) 241-2218,,,
Rene's,Restaurant,"1030 Fifth Avenue East McKeesport, PA",http://www.renesrestaurant.net/,,"Full Lenten menu, including 1-lb fish sandwich",412-823-9544,,True,True
Hills Restaurant,Restaurant,"107 Main St, New Eagle, PA 15067",https://www.facebook.com/Hills-Restaurant-117576318259711/,,,724-258-5422,,,True
St. Luke,Church,421 East 38th Street. Erie PA,http://www.slserie.org/,,Fish Dinner - 10. Captains Platter - 12 Shrimp Basket - 7,814-825-7105,,False,False
Hookstown Volunteer Fire Department,Fire Department,"102 Silver Slipper Rd Hookstown, Pennsylvania",,,,xxx-xxx-xxxx,,,
St. Philip- Ascension Worship Site,Church,"114 Berry St., Pittsburgh, PA",,,fish sandwich; fish sandwich dinner; baked fish dinner; jumbo shrimp dinner; homemade crab cake dinner; seafood dinner; macaroni and cheese; green beans; grilled cheese; salad; soup; haluski; desserts; beverages.,,,,False
Most Holy Name,Church,"1515 Tinsbury Street, Pittsburgh, PA",https://www.mostholynameofjesusparish15212.org/,,"Dinner menu, $10: fried or baked cod; crab cakes (two); breaded jumbo shrimp (six). Dinners come with choice of two sides (french fries, homemade macaroni and cheese, homemade cole slaw, applesauce, stewed tomatoes), homemade dessert, beverage (for dine-in only). A la carte menu and takeout available",,,,False
Adamsburg VFD,Fire Department,"495 Edna Rd, Adamsburg, Pennsylvania 15611",https://www.facebook.com/AdamsburgVfd,,See their Facebook page (https://www.facebook.com/AdamsburgVfd) for the complete menu.,724-527-2180,,False,True
St. Mary Orthodox Church,Church,"105 S. 19th St. Pittsburgh, PA 15203",http://www.stmaryorthodoxchurch.net/,,"Fish Sandwich - $6.00
Choice of fries, cole slaw, or applesauce
Shrimp - $7.00
Choice of fries, cole slaw, or applesauce
Baked Fish - $6.00
Greek Salad - $5.00
Crab Cake - $5.00
3 Pierogi - $3.00
Halushki - $3.00
Mac & Cheese - $3.00
Pop or Water - $1.00
Various deserts
",412-431-6428,,False,True
S&D Polish Deli,Restaurant,"2204 Penn Avenue, Pittsburgh, Pennsylvania 15222, United States",http://sdpolishdeli.com/sdpolishdeli/,https://www.facebook.com/sdpolishdelipittsburgh/photos/rpp.544254162312994/1801789979892733/?type=3&theater,"All platters come with coleslaw and haluszki or 3 pierogi or mac 'n cheese
Baked Fish Platter - $12
Fried Fish Platter - $12
Meatless Stuffed Cabbage Platter - $12
Potato Pancake Platter - $12

A la carte
Fried Fish Sandwich - $8
Mushroom Stuffed Cabbage - $4
4 Pierogi - $5
12 Pierogi - $11
Haluszki - $6 Large, $3 Small
Mac 'n Cheese - $5 Large, $3 Small
2 Potato Pancakes - $5
Coleslaw - $5 large, $3 small
Soup of the Day - $4
Dessert of the Day - $5
",412-281-2906,,False,True
