validated,venue_name,venue_type,venue_address,website,events,etc,menu_url,menu_text,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude
True,Bobtown and Dunkard Twp Volunteer Fire (ADDRESS UNCERTAIN),Fire Department,"1 Larimer Ave Bobtown, Pa 15315",https://www.facebook.com/Bobtown-Dunkard-Township-Vol-Fire-Dept-186206404761913/,"Friday Feb 16 from 11:00 AM to 7:00 PM, Friday Feb 23 from 11:00 AM to 7:00 PM, Friday Mar 2 from 11:00 AM to 7:00 PM, Friday Mar 9 from 11:00 AM to 7:00 PM, Friday Mar 16 from 11:00 AM to 7:00 PM, Friday Mar 23 from 11:00 AM to 7:00 PM, Friday Mar 30 from 11:00 AM to 7:00 PM",The address for this fish fry is uncertain. Please check with Bobtown and Dunkard Volunteer Fire Department before visiting.,https://www.facebook.com/186206404761913/photos/a.638412672874615.1073741829.186206404761913/1556094534439753/?type=3&theater,see website link for full menu,,724-839-7140,,,True,False,True,,True,,39.759173,-79.980159
False,Tower Restaurant,Restaurant,"680 W Chestnut St Washington, PA 15301",,,,,,,724-222-5952,,,,,True,,False,258.0,40.169556,-80.260334
True,Manor Volunteer Fire Department,Fire Department,"40 Main Street, Manor, Pennsylvania 15665, United States",http://manorvfd.org/,"Friday Feb 16 from 4:00 PM to 7:00 PM, Friday Feb 23 from 4:00 PM to 7:00 PM, Friday Mar 2 from 4:00 PM to 7:00 PM, Friday Mar 9 from 4:00 PM to 7:00 PM, Friday Mar 16 from 4:00 PM to 7:00 PM, Friday Mar 23 from 4:00 PM to 7:00 PM, Friday Mar 30 from 3:00 PM to 7:00 PM","Wednesday, February 14, 2018 (Ash Wednesday) 4 PM to 7 PM/Every Friday Night During Lent 4 PM to 7 PM (3 PM to 7 PM on Good Friday)/ Orders for Delivery Must Be Received No Later Than 5:30 PM/",,"Dinners:
1 Piece Fish Dinner - $8
2 Piece Fish Dinner - $10
6 Piece Shrimp Dinner - $9
9 Piece Shrimp Dinner - $11
4 Piece Chicken Dinner - $10
Dinners Include: 2 Sides, Dinner Roll, Butter, Beverage and Dessert
Platter:
Fish Sandwich Platter - $10
Platter Includes: 2 Pieces of Fish in a Big Bun, 1 Side, Beverage and Dessert
Kids Meal:
Kids Meal - $5
Kids Meal Includes: A choice of a Hotdog, Hamburger, Cheeseburger, Chicken (2 Pieces)
Or Fish (1 Piece), Plus 1 Side, a Beverage and Dessert
Al a Carte:
1 Piece of Fish - $3
3 Pieces of Shrimp - $2
2 Pieces of Chicken - $2
Sides -$1
Fish Sandwich - $6
Beverage - $1
Dessert - $2
",Manor Borough Community Room,(724) 863-5610,,,True,,False,,True,,40.33371,-79.671243
True,"St. Peter, Northside",Church,"907 Middle St, Pittsburgh, PA 15212",http://www.stpeterparish.org,"Friday Feb 16 from 4:00 PM to 6:30 PM, Friday Feb 23 from 4:00 PM to 6:30 PM, Friday Mar 2 from 4:00 PM to 6:30 PM, Friday Mar 9 from 4:00 PM to 6:30 PM, Friday Mar 16 from 4:00 PM to 6:30 PM, Friday Mar 23 from 4:00 PM to 6:30 PM","For information, call 412-321-0711 or visit www.stpeterparish.org./",http://www.stpeterparish.org/,"Menu: baked or fried cod; salmon; crab cakes; macaroni and cheese or cabbage and noodles, stewed tomatoes or vegetable of the day; french fries; cole slaw or pickled beets. Also, roll and butter, coffee or tea. Cost is $10 for dinner, $6 for sandwiches. ",Note that you must use the Middle Street address for GPS navigation. The fish fry is located at Our Lady Queen of Peace facilities at Middle and Suismon.,412-321-2499,,False,True,False,False,False,True,,40.455751,-79.999768
False,"St. Patrick, Canonsburg",Church," 317 W Pike St, Canonsburg, PA 15317",www.stpatrickparish.net,"Friday Mar 16 from 4:00 PM to 7:00 PM, Friday Mar 23 from 4:00 PM to 7:00 PM, Friday Mar 16 from 11:00 AM to 1:00 PM, Friday Mar 23 from 11:00 AM to 1:00 PM","Fridays of Lent, except Good Friday, 11 a.m.-1 p.m. lunch, 4-7 p.m. dinner. Fax orders to 724-746-1112 two hours prior to pickup or delivery.",,"Lunch menu features hand-breaded cod sandwich in adult and child size, soup and sides. Delivery is available for lunch within seven miles with minimum order of $30. Dinner entrees include hand-breaded baked or fried cod, shrimp and seafood platter, with two sides, roll and butter, dessert and beverage. Sides include hush puppies, haluski, macaroni and cheese, cole slaw, applesauce and stewed tomatoes. Also featuring homemade desserts. Homemade pierogies for sale, cooked with butter and onions, or dozen frozen.",,724-745-6560,,True,True,,True,,False,245.0,40.258009,-80.195076
False,All Saints,Church,"11264 Route 97 North, Waterford PA",,"Friday Mar 2 from 4:30 PM to 7:30 PM, Friday Mar 23 from 4:30 PM to 7:30 PM, Friday Feb 23 from 4:30 PM to 7:30 PM, Friday Feb 16 from 4:30 PM to 7:30 PM, Friday Mar 9 from 4:30 PM to 7:30 PM, Friday Mar 16 from 4:30 PM to 7:30 PM","4:30-7:30 pm March 3, 10, 17, 24, 31, and April 7",,"Baked or fried white fish. Adult $9, Child 12 and under $4, Toddlers free. Includes choice of baked potato and french fries, coleslaw/applesauce, homemade desserts, and drink.",,814-796-3023,,,True,,False,,False,253.0,41.974787,-80.009111
False,Doublewide Grill (Mars/Cranberry),Resturant,"100 Adams Shoppes, Cranberry, PA",,,,,,,xxx-xxx-xxxx,,,,,,,False,86.0,40.687426,-80.056449
True,"St. Malachy, Kennedy Township",Church,"343 Forest Grove Road Kennedy Township, PA",www.stmalachypgh.org,"Wednesday Feb 14 from 12:00 PM to 7:00 PM, Friday Feb 16 from 12:00 PM to 7:00 PM, Friday Feb 23 from 12:00 PM to 7:00 PM, Friday Mar 2 from 12:00 PM to 7:00 PM, Friday Mar 9 from 12:00 PM to 7:00 PM, Friday Mar 16 from 12:00 PM to 7:00 PM, Friday Mar 23 from 12:00 PM to 7:00 PM, Friday Mar 30 from 12:00 PM to 12:15 PM","Ash Wednesday and Fridays of Lent, including Good Friday, noon-7 p.m. (shorter hours Good Friday, with limited menu). Good Friday has limited menu, limited hours. ",http://www.stmalachypgh.org/FISH%20FRY%202018%20MENU.pdf,"Menu features 1-pound fish sandwich, baked fish, tuna salad sandwich, crab cake sandwich, shrimp, pierogies, macaroni and cheese, cabbage and noodles, cole slaw, french fries. ",In School Cafeteria,412-771-0848,,,True,False,True,True,True,,40.47763,-80.10313
False,Hogfathers Washington Crown Center,Restaurant,"1500 West Chestnut Street, Washington, PA 15301",hogfathersbbq.com,,,,,,724-222-9227,,,True,True,True,,False,246.0,40.172387,-80.246061
True,"Our Lady of the Valley, Donora",Church,"1 Park Manor Rd. Donora, PA",,"Friday Mar 16 from 11:30 AM to 6:00 PM, Friday Mar 23 from 11:30 AM to 6:00 PM, Friday Mar 30 from 3:00 PM to 6:00 PM, Wednesday Feb 14 from 11:30 AM to 6:00 PM, Friday Feb 16 from 11:30 AM to 6:00 PM, Friday Feb 23 from 11:30 AM to 6:00 PM, Friday Mar 2 from 11:30 AM to 6:00 PM, Friday Mar 9 from 11:30 AM to 6:00 PM","Ash Wednesday and Fridays of Lent, including Good Friday, 11:30 a.m.-6 p.m. (3-6 p.m. Good Friday)",,"Dinner entrees: baked or fried ""monster"" fish; breaded jumbo shrimp; crab cakes. Dinners are $12.75, and include entree, choice of french fries or pierogies, cole slaw, dessert and beverage (for dine-in customers). Also, ""monster"" baked or fried fish sandwich, with cole slaw is $9.75, and shrimp in a basket (five) with cole slaw is $9.75. A la carte menu includes french fries, pierogies, pasta fagioli with bread, cole slaw, dessert, buns and beverages. ","Social Hall, 1 Park Manor Road",724-379-7559,,,True,False,True,True,True,,40.180659,-79.861272
False,Centerville American Legion Post 705,Community Organization,1101 Old National Pike Fredericktown PA 15333,https://www.facebook.com/CALPost705/,"Friday Mar 2 from 5:00 PM to 8:00 PM, Friday Mar 9 from 5:00 PM to 8:00 PM, Friday Feb 23 from 5:00 PM to 8:00 PM, Friday Feb 16 from 5:00 PM to 8:00 PM, Friday Mar 23 from 5:00 PM to 8:00 PM, Friday Mar 16 from 5:00 PM to 8:00 PM, Friday Mar 30 from 5:00 PM to 8:00 PM",EVERY FRIDAY FROM NOVEMBER 11TH - APRIL 21ST,https://www.facebook.com/CALPost705/photos/a.578206219030287.1073741828.334499336734311/602404116610497/?type=3&theater,,,724-632-9591,,,True,,False,,False,141.0,40.047622,-79.987232
True,Pizzarita,Restaurant,"580 Burchfield Rd., Allison Park, PA",http://pizzaritapgh.com/,,11am-10pm every Friday including Good Friday,,,,,,,True,,True,,True,,40.544537,-79.962887
False,St Gregory Russian Orthodox Church,Church,"214 E. 15th Ave, Homestead, PA 15120",http://www.stgregoryrussianchurch.org/,"Friday Mar 23 from 11:00 AM to 5:00 PM, Friday Mar 16 from 11:00 AM to 5:00 PM, Friday Feb 16 from 11:00 AM to 5:00 PM, Friday Feb 23 from 11:00 AM to 5:00 PM, Friday Mar 30 from 11:00 AM to 5:00 PM, Friday Mar 2 from 11:00 AM to 5:00 PM, Friday Mar 9 from 11:00 AM to 5:00 PM",Homemade Cheregies!,http://www.stgregoryrussianchurch.org/fish-fry-english/,,,412-462-8256,,False,True,False,True,,False,179.0,40.402733,-79.905097
False,Coy's Store & Pizza Shop,Unsure / N/A,"11919 U.S. 422 Penn Run, PA 15765",http://coyspizza.com/,,Is there a Fish Fry here?,http://coyspizza.com/our-menu/,,,724-463-9449,,,True,,True,,False,,40.572312,-78.962238
True,Riley's Pour House,Restaurant,"215 East Main Street, Carnegie, Pennsylvania 15106, United States",http://www.rileyspourhouse.com/,,11am-1am every Friday including Good Friday,,,,412.279.0770,,,,True,True,,True,,40.408625,-80.085221
False,Fairmont-Hahntown VFD,Fire Department,"890 Rose St, Irwin, PA 15642",,,,,,,xxx-xxx-xxxx,,,,,,,False,93.0,40.3162,-79.722499
False,Larimer VFD,Fire Department,"1340 Brownstown Rd., Larimer, PA",,,,,,,xxx-xxx-xxxx,,,,,,,False,148.0,40.344486,-79.72572
True,St. Agnes/Holy Trinity,Church,"Holy Trinity Church Social Hall, 529 Grant Avenue Ext West Mifflin, PA 15122-3830",stagneswm.com,"Wednesday Feb 14 from 11:00 AM to 6:00 PM, Friday Feb 16 from 11:00 AM to 6:00 PM, Friday Feb 23 from 11:00 AM to 6:00 PM, Friday Mar 2 from 11:00 AM to 6:00 PM, Friday Mar 9 from 11:00 AM to 6:00 PM, Friday Mar 16 from 11:00 AM to 6:00 PM, Friday Mar 23 from 11:00 AM to 6:00 PM, Friday Mar 30 from 11:00 AM to 6:00 PM","Ash Wednesday and Fridays of Lent, including Good Friday, 11 a.m.-6 p.m. ",,"Fried and baked fish dinners and sandwiches, shrimp and crab cake dinners; pierogies; haluski; homemade soups of the day.",,Takeout available; call 412-466-9695.,,,True,False,True,,True,,40.370546,-79.86589
False,Holy Spirit (West Mifflin),Church,"2603 Old Elizabeth Road, West Mifflin, Pa 15122",https://facebook.com/holyspiritchurch/,Wednesday Feb 14 from 11:00 AM to 7:00 PM,Ash Wednesday 11a to 7p,,,,412-346-0477,19201@diopitt.org,,,,,,False,15.0,40.348065,-79.93331
True,"Our Lady of the Miraculous Medal, Meadow Lands",Church,"300 Pike St, Meadow Lands, PA",http://miraculousmedalchurch.org/,"Wednesday Feb 14 from 11:00 AM to 7:00 PM, Friday Feb 16 from 11:00 AM to 7:00 PM, Friday Feb 23 from 11:00 AM to 7:00 PM, Friday Mar 2 from 11:00 AM to 7:00 PM, Friday Mar 9 from 11:00 AM to 7:00 PM, Friday Mar 16 from 11:00 AM to 7:00 PM, Friday Mar 23 from 11:00 AM to 7:00 PM","Ash Wednesday and Fridays of Lent, except Good Friday, 11 a.m.-7:30 p.m. Call 724-228-8575 for takeout. Online orders via website.",http://miraculousmedalchurch.org/CCD-Events-Hall/Fish-Fry,"Menu features Panko breaded cod, deep-fried in heart healthy tri-fry oil that is cholesterol- and trans fat-free. Other healthier options include baked cod or salmon, Maine lobster rolls and tuna melts. Also featuring homemade crab cakes, jumbo shrimp, and cabbage and noodles. Back by popular demand is seafood pizza. Side orders include green beans, baked potatoes, french fries, cole slaw, and macaroni and cheese. Featuring breads from Breadworks and homemade desserts.",,724-228-8575,,True,True,,True,,True,,40.219197,-80.220646
True,"St. Therese of Lisieux, Munhall",Church,"3 Saint Therese Court, Homestead, Pennsylvania 15120, United States",http://www.st-therese.net/,"Friday Feb 16 from 3:30 PM to 7:00 PM, Friday Feb 23 from 3:30 PM to 7:00 PM, Friday Mar 2 from 3:30 PM to 7:00 PM, Friday Mar 9 from 3:30 PM to 7:00 PM, Friday Mar 16 from 3:30 PM to 7:00 PM, Friday Mar 23 from 3:30 PM to 7:00 PM, Friday Mar 30 from 3:30 PM to 7:00 PM",,,"Menu includes fried and baked fish, shrimp, homemade crab cakes, soup and more.",,412-462-8164,,,True,,False,,True,,40.38804,-79.90053
False,Hanover Volunteer Fire Department Fish Fry,Fire Department,"9 Starck Drive, Burgettstown, PA 15021",hanovervfd45.com,"Wednesday Feb 14 from 11:00 AM to 7:00 PM, Friday Mar 9 from 11:00 AM to 7:00 PM, Friday Mar 30 from 11:00 AM to 7:00 PM, Friday Mar 23 from 11:00 AM to 7:00 PM, Friday Mar 16 from 11:00 AM to 7:00 PM, Friday Feb 23 from 11:00 AM to 7:00 PM, Friday Mar 2 from 11:00 AM to 7:00 PM, Friday Feb 16 from 11:00 AM to 7:00 PM",Delivery available,,"Fish Dinner with Cole Slaw and One Side - $12.00
Shrimp Dinner with Cole Slaw and One Side - $12.00
Fish Sandwich - $10.00
Shrimp Basket - $10.00
Chicken Sandwich - $5.00
Mac and Cheese - $3.00
Haluski - $3.00
French Fries - $3.00
Pierogies (4) - $3.00
Cole Slaw - $3.00
Drinks - $1.00",,724-729-3929,,,True,False,True,,False,254.0,40.380792,-80.393425
True,"St Elizabeth Ann Seton, Carnegie",Church,"330 3rd Ave, Carnegie, PA 15106",,"Wednesday Feb 14 from 11:30 AM to 7:00 PM, Friday Feb 16 from 11:30 AM to 7:00 PM, Friday Feb 23 from 11:30 AM to 7:00 PM, Friday Mar 2 from 11:30 AM to 7:00 PM, Friday Mar 9 from 11:30 AM to 7:00 PM, Friday Mar 16 from 11:30 AM to 7:00 PM, Friday Mar 23 from 11:30 AM to 7:00 PM, Friday Mar 30 from 3:00 PM to 7:00 PM","For phone orders, call 412-276-1011, ext. 220, from 11 a.m.-6 p.m.",,"Dinner menu: fish trio (fried fish, shrimp, crab cake), baked or fried fish, jumbo shrimp, crab cakes (served with fries, cole slaw, roll and butter); macaroni and cheese with stewed tomatoes; pierogies (served with cole slaw, roll and butter); fish Parmesan (served with pasta marinara, and roll and butter). A la carte menu: baked and fried fish sandwich, crab cakes, popcorn shrimp, pierogies, french fries, pasta marinara, haluski, macaroni and cheese, stewed tomatoes, applesauce, cole slaw, clam chowder, potato soup. Also featuring homemade desserts and other treats. ",In St Luke Hall,412-276-1011 ext 220,,,True,,True,True,True,,40.403918,-80.091003
True,Geeseytown Community Fire Company,Fire Department,"215 Mary Street, Hollidaysburg, Pennsylvania 16648, United States",https://www.facebook.com/Geeseytown-Community-Fire-Company-1531587100412091/,"Friday Feb 16 from 3:00 PM to 7:00 PM, Friday Feb 23 from 3:00 PM to 7:00 PM, Friday Mar 2 from 3:00 PM to 7:00 PM, Friday Mar 9 from 3:00 PM to 7:00 PM, Friday Mar 16 from 3:00 PM to 7:00 PM, Friday Mar 23 from 3:00 PM to 7:00 PM, Friday Mar 30 from 3:00 PM to 7:00 PM","Fridays of Lent, 3-7 including Good Friday",,,,(814) 695-8003,,,True,,False,,True,,40.450352,-78.345659
True,"ASH WEDNESDAY AND GOOD FRIDAY ONLY Prince of Peace, South Side ",Church,"81 S. 13th St. Pittsburgh, PA",http://www.princeofpeacepittsburgh.org/,"Wednesday Feb 14 from 2:00 PM to 7:00 PM, Friday Mar 30 from 2:00 PM to 7:00 PM","ASH WEDNESDAY AND GOOD FRIDAY ONLY. Takeout is available, but no advance orders taken. For information, call 412-481-8380 or visit www.princeofpeacepittsburgh.org. ",,"Menu: fish (baked or fried) or crab cake, with applesauce or cole slaw, two sides, dessert, coffee or tea, $9; fish (baked or fried) or crab cake sandwich, with applesauce or cole slaw, $6. Pierogies are three for $2.50, or $7 per dozen (frozen). ",,412-481-8380,,,True,,,,True,,40.428951,-79.985145
False,"Transfiguration/St. Victor, Bairdford",Church,"527 Bairdford Road Bairdford, PA",http://www.stvictors.org/,"Friday Feb 16 from 12:00 PM to 7:00 PM, Friday Mar 16 from 12:00 PM to 7:00 PM, Friday Mar 9 from 12:00 PM to 7:00 PM, Friday Mar 23 from 12:00 PM to 7:00 PM, Friday Mar 2 from 12:00 PM to 7:00 PM, Friday Feb 23 from 12:00 PM to 7:00 PM, Friday Mar 30 from 12:00 PM to 7:00 PM",,https://uploads.weconnect.com/mce/a4c36ded9dbf60a5a9dceb0d0a1e3b17ac92f8cf/2017%20FF%20Menu.pdf,,,724-265-4017,,,True,,True,,False,53.0,40.633742,-79.873401
True,Connellsville Twp. VFD,Fire Department,"905 Fireman Street, Connellsville, Pennsylvania 15425, United States",,"Friday Feb 16 from 11:00 AM to 2:00 PM, Friday Feb 23 from 11:00 AM to 2:00 PM, Friday Mar 2 from 11:00 AM to 2:00 PM, Friday Mar 9 from 11:00 AM to 2:00 PM, Friday Mar 16 from 11:00 AM to 2:00 PM, Friday Mar 23 from 11:00 AM to 2:00 PM, Friday Mar 30 from 11:00 AM to 2:00 PM, Friday Feb 16 from 4:00 PM to 7:00 PM, Friday Feb 23 from 4:00 PM to 7:00 PM, Friday Mar 2 from 4:00 PM to 7:00 PM, Friday Mar 9 from 4:00 PM to 7:00 PM, Friday Mar 16 from 4:00 PM to 7:00 PM, Friday Mar 23 from 4:00 PM to 7:00 PM, Friday Mar 30 from 4:00 PM to 7:00 PM",Lunch 11-2 and Dinner 4-7 every Friday of Lent including Good Friday,https://www.facebook.com/564084873610128/photos/a.666221240063157.1073741827.564084873610128/1799858140032789/?type=3&theater,,,724-628-0900,,,True,,True,,True,,40.02847,-79.58451
True,Assumption,Church,"45 North Sprague Avenue, Bellevue, PA 15202",https://www.assumptionchurch.org/,"Friday Feb 16 from 4:00 PM to 7:00 PM, Friday Feb 23 from 4:00 PM to 7:00 PM, Friday Mar 2 from 4:00 PM to 7:00 PM, Friday Mar 9 from 4:00 PM to 7:00 PM, Friday Mar 16 from 4:00 PM to 7:00 PM, Friday Mar 23 from 4:00 PM to 7:00 PM","Credit cards accepted. Voted one of the ""Elite Eight"" fish fries in Pittsburgh region in 2017 and known for generous portions. Assumption Church (Bellevue) is handicapped accessible.  There is a ramp that leads from North Jackson Avenue (behind the church) to our McGovern Hall.  Bathrooms handicapped accessible too./",,"Menu features hand-breaded fish and cole slaw made from scratch. Traditional Eastern European sides offered, with homemade desserts available. Also, low-carb dinner available. Cost is $11 for adults, $3 for child and $8 for sandwich, with various a la carte items sold. ",McGovern hall under the church,412-766-9727,,False,True,False,False,True,True,,40.497425,-80.05727
True,"St. Fidelis, Butler",Church,"125 Buttercup Road, Butler, Pennsylvania 16001, United States",,"Friday Feb 9 from 4:00 PM to 7:00 PM, Friday Feb 16 from 4:00 PM to 7:00 PM, Friday Feb 23 from 4:00 PM to 7:00 PM, Friday Mar 2 from 4:00 PM to 7:00 PM, Friday Mar 9 from 4:00 PM to 7:00 PM, Friday Mar 16 from 4:00 PM to 7:00 PM, Friday Mar 23 from 4:00 PM to 7:00 PM","Fridays, Feb. 9-March 23, 4-7 p.m. Proceeds benefit various ministries in support of Butler community. ",,"Dinner menu, choice of deep-fried or baked fish, scalloped potatoes or french fries, green beans, cole slaw, bread and butter, beverage and dessert. Cost: $10 adults, $5 children age 10 and under, free for child under 2. All takeout is $10. ",Guests dining in should use upper CCD building doors. Guests in need of handicap access and with takeout order should use center parish hall doors./,,,,True,,False,True,True,,40.847453,-79.971124
True,Penn Hills Bar and Grill,Restaurant,"11507 Frankstown Road, Pittsburgh, Pennsylvania 15235, United States",,,Please contact the restaurant for details.,,,,(412) 241-2218,,,,,,,True,,40.465289,-79.831279
True,Rene's,Restaurant,"1030 Fifth Avenue East McKeesport, PA",http://www.renesrestaurant.net/,"Friday Mar 2 from 11:00 AM to 10:00 PM, Friday Mar 9 from 11:00 AM to 10:00 PM, Friday Mar 16 from 11:00 AM to 10:00 PM, Friday Mar 23 from 11:00 AM to 10:00 PM, Friday Mar 30 from 11:00 AM to 10:00 PM, Friday Feb 16 from 11:00 AM to 10:00 PM, Friday Feb 23 from 11:00 AM to 10:00 PM",,,"Full Lenten menu, including 1-lb fish sandwich",,412-823-9544,,,True,True,True,,True,,40.383,-79.810268
